energy_relative_fermi_ev,energy_absolute_ev,dos_states_per_ev_per_cell
-7.690000000000092,0.1117999999999082,0.2582626436410503
-7.680000000000092,0.12179999999990798,0.25764783073823
-7.670000000000092,0.13179999999990777,0.2563060253345111
-7.6600000000000925,0.14179999999990756,0.25431755123775696
-7.650000000000093,0.15179999999990734,0.2517766815630483
-7.640000000000093,0.16179999999990713,0.24878982491275536
-7.630000000000093,0.17179999999990692,0.24547340314587615
-7.620000000000093,0.1817999999999067,0.24195146353573704
-7.610000000000094,0.1917999999999065,0.23835307544101442
-7.600000000000094,0.20179999999990628,0.23480956761243651
-7.590000000000094,0.21179999999990606,0.23145166680124538
-7.580000000000094,0.22179999999990585,0.22840660135076793
-7.570000000000094,0.23179999999990564,0.22579523491130046
-7.560000000000095,0.24179999999990542,0.22372929533365268
-7.550000000000095,0.2517999999999052,0.2223087622150251
-7.540000000000095,0.261799999999905,0.22161947356563783
-7.530000000000095,0.2717999999999048,0.2217310077288518
-7.5200000000000955,0.28179999999990457,0.22269489112814975
-7.510000000000096,0.29179999999990436,0.22454317574778915
-7.500000000000096,0.30179999999990414,0.22728742260361398
-7.490000000000096,0.31179999999990393,0.23091811895667982
-7.480000000000096,0.3217999999999037,0.23540454780305806
-7.470000000000097,0.3317999999999035,0.2406951183871538
-7.460000000000097,0.3417999999999033,0.2467181562956673
-7.450000000000097,0.3517999999999031,0.2533831412749602
-7.440000000000097,0.36179999999990287,0.2605823704760104
-7.430000000000097,0.37179999999990265,0.26819301458972444
-7.420000000000098,0.38179999999990244,0.27607952453284745
-7.410000000000098,0.3917999999999022,0.2840963372398446
-7.400000000000098,0.401799999999902,0.29209082097860545
-7.390000000000098,0.4117999999999018,0.2999063937092631
-7.3800000000000985,0.4217999999999016,0.30738574260806034
-7.370000000000099,0.4317999999999014,0.3143740692218818
-7.360000000000099,0.44179999999990116,0.3207222830070588
-7.350000000000099,0.45179999999990095,0.32629006639083724
-7.340000000000099,0.46179999999990073,0.3309487370644207
-7.3300000000000995,0.4717999999999005,0.334583837987049
-7.3200000000001,0.4817999999999003,0.3370973924832147
-7.3100000000001,0.4917999999999001,0.33840977069599754
-7.3000000000001,0.5017999999998999,0.3384611242798684
-7.2900000000001,0.5117999999998997,0.3372123582579005
-7.280000000000101,0.5217999999998995,0.3346456220442526
-7.270000000000101,0.5317999999998992,0.33076431530234135
-7.260000000000101,0.541799999999899,0.3255926180959587
-7.250000000000101,0.5517999999998988,0.31917456820441353
-7.2400000000001015,0.5617999999998986,0.3115727210314865
-7.230000000000102,0.5717999999998984,0.30286643879043784
-7.220000000000102,0.5817999999998982,0.2931498651947865
-7.210000000000102,0.591799999999898,0.28252964939944597
-7.200000000000102,0.6017999999998978,0.2711224881776884
-7.1900000000001025,0.6117999999998975,0.259052558141881
-7.180000000000103,0.6217999999998973,0.24644891017761822
-7.170000000000103,0.6317999999998971,0.23344289622186357
-7.160000000000103,0.6417999999998969,0.2201656942329025
-7.150000000000103,0.6517999999998967,0.20674599091733098
-7.140000000000104,0.6617999999998965,0.19330787381323378
-7.130000000000104,0.6717999999998963,0.17996897505110213
-7.120000000000104,0.681799999999896,0.16683889893210385
-7.110000000000104,0.6917999999998958,0.15401795479991065
-7.1000000000001044,0.7017999999998956,0.1415962059555728
-7.090000000000105,0.7117999999998954,0.12965283496971466
-7.080000000000105,0.7217999999998952,0.1182558160382512
-7.070000000000105,0.731799999999895,0.1074618763098743
-7.060000000000105,0.7417999999998948,0.09731672062703062
-7.0500000000001055,0.7517999999998946,0.08785548804089419
-7.040000000000106,0.7617999999998943,0.0791034038897717
-7.030000000000106,0.7717999999998941,0.07107658820728739
